city_do_nm,city_gn_nm,news_cn,kwrd_val,link_url,news_cmpny_nm,news_de,news_sj
광주광역시,남구, 최악의 가뭄  광주 3월1일부터 제한급수 위기 코앞,가뭄,https://www.news1.kr/articles/4911524,뉴스1,2023-01-01, 최악의 가뭄  광주 3월1일부터 제한급수 위기 코앞
광주광역시,동구, 최악의 가뭄  광주 3월1일부터 제한급수 위기 코앞,가뭄,https://www.news1.kr/articles/4911524,뉴스1,2023-01-01, 최악의 가뭄  광주 3월1일부터 제한급수 위기 코앞
광주광역시,서구, 최악의 가뭄  광주 3월1일부터 제한급수 위기 코앞,가뭄,https://www.news1.kr/articles/4911524,뉴스1,2023-01-01, 최악의 가뭄  광주 3월1일부터 제한급수 위기 코앞
광주광역시,동구, 최악의 가뭄  광주 3월1일부터 제한급수 위기 코앞,가뭄,https://www.news1.kr/articles/4911524,뉴스1,2023-01-01, 최악의 가뭄  광주 3월1일부터 제한급수 위기 코앞
광주광역시,광산구, 최악의 가뭄  광주 3월1일부터 제한급수 위기 코앞,가뭄,https://www.news1.kr/articles/4911524,뉴스1,2023-01-01, 최악의 가뭄  광주 3월1일부터 제한급수 위기 코앞
광주광역시,남구, 최악의 가뭄  광주 3월1일부터 제한급수 위기 코앞,가뭄,https://www.news1.kr/articles/4911524,뉴스1,2023-01-01, 최악의 가뭄  광주 3월1일부터 제한급수 위기 코앞
광주광역시,서구, 최악의 가뭄  광주 3월1일부터 제한급수 위기 코앞,가뭄,https://www.news1.kr/articles/4911524,뉴스1,2023-01-01, 최악의 가뭄  광주 3월1일부터 제한급수 위기 코앞
광주광역시,남구, 최악의 가뭄  광주 3월1일부터 제한급수 위기 코앞,가뭄,https://www.news1.kr/articles/4911524,뉴스1,2023-01-01, 최악의 가뭄  광주 3월1일부터 제한급수 위기 코앞
광주광역시,동구, 최악의 가뭄  광주 3월1일부터 제한급수 위기 코앞,가뭄,https://www.news1.kr/articles/4911524,뉴스1,2023-01-01, 최악의 가뭄  광주 3월1일부터 제한급수 위기 코앞
광주광역시,서구, 최악의 가뭄  광주 3월1일부터 제한급수 위기 코앞,가뭄,https://www.news1.kr/articles/4911524,뉴스1,2023-01-01, 최악의 가뭄  광주 3월1일부터 제한급수 위기 코앞
광주광역시,서구, 최악의 가뭄  광주 3월1일부터 제한급수 위기 코앞,가뭄,https://www.news1.kr/articles/4911524,뉴스1,2023-01-01, 최악의 가뭄  광주 3월1일부터 제한급수 위기 코앞
전라남도,화순군, 최악의 가뭄  광주 3월1일부터 제한급수 위기 코앞,가뭄,https://www.news1.kr/articles/4911524,뉴스1,2023-01-01, 최악의 가뭄  광주 3월1일부터 제한급수 위기 코앞
광주광역시,남구, 최악의 가뭄  광주 3월1일부터 제한급수 위기 코앞,가뭄,https://www.news1.kr/articles/4911524,뉴스1,2023-01-01, 최악의 가뭄  광주 3월1일부터 제한급수 위기 코앞
광주광역시,북구, 최악의 가뭄  광주 3월1일부터 제한급수 위기 코앞,가뭄,https://www.news1.kr/articles/4911524,뉴스1,2023-01-01, 최악의 가뭄  광주 3월1일부터 제한급수 위기 코앞
광주광역시,광산구, 최악의 가뭄  광주 3월1일부터 제한급수 위기 코앞,가뭄,https://www.news1.kr/articles/4911524,뉴스1,2023-01-01, 최악의 가뭄  광주 3월1일부터 제한급수 위기 코앞
전라남도,화순군, 최악의 가뭄  광주 3월1일부터 제한급수 위기 코앞,가뭄,https://www.news1.kr/articles/4911524,뉴스1,2023-01-01, 최악의 가뭄  광주 3월1일부터 제한급수 위기 코앞
광주광역시,동구, 최악의 가뭄  광주 3월1일부터 제한급수 위기 코앞,가뭄,https://www.news1.kr/articles/4911524,뉴스1,2023-01-01, 최악의 가뭄  광주 3월1일부터 제한급수 위기 코앞
광주광역시,동구, 최악의 가뭄  광주 3월1일부터 제한급수 위기 코앞,가뭄,https://www.news1.kr/articles/4911524,뉴스1,2023-01-01, 최악의 가뭄  광주 3월1일부터 제한급수 위기 코앞
광주광역시,서구, 최악의 가뭄  광주 3월1일부터 제한급수 위기 코앞,가뭄,https://www.news1.kr/articles/4911524,뉴스1,2023-01-01, 최악의 가뭄  광주 3월1일부터 제한급수 위기 코앞
전라남도,화순군, 최악의 가뭄  광주 3월1일부터 제한급수 위기 코앞,가뭄,https://www.news1.kr/articles/4911524,뉴스1,2023-01-01, 최악의 가뭄  광주 3월1일부터 제한급수 위기 코앞
광주광역시,광산구, 최악의 가뭄  광주 3월1일부터 제한급수 위기 코앞,가뭄,https://www.news1.kr/articles/4911524,뉴스1,2023-01-01, 최악의 가뭄  광주 3월1일부터 제한급수 위기 코앞
광주광역시,북구, 최악의 가뭄  광주 3월1일부터 제한급수 위기 코앞,가뭄,https://www.news1.kr/articles/4911524,뉴스1,2023-01-01, 최악의 가뭄  광주 3월1일부터 제한급수 위기 코앞
광주광역시,남구, 최악의 가뭄  광주 3월1일부터 제한급수 위기 코앞,가뭄,https://www.news1.kr/articles/4911524,뉴스1,2023-01-01, 최악의 가뭄  광주 3월1일부터 제한급수 위기 코앞
광주광역시,북구, 최악의 가뭄  광주 3월1일부터 제한급수 위기 코앞,가뭄,https://www.news1.kr/articles/4911524,뉴스1,2023-01-01, 최악의 가뭄  광주 3월1일부터 제한급수 위기 코앞
광주광역시,서구, 최악의 가뭄  광주 3월1일부터 제한급수 위기 코앞,가뭄,https://www.news1.kr/articles/4911524,뉴스1,2023-01-01, 최악의 가뭄  광주 3월1일부터 제한급수 위기 코앞
광주광역시,동구, 최악의 가뭄  광주 3월1일부터 제한급수 위기 코앞,가뭄,https://www.news1.kr/articles/4911524,뉴스1,2023-01-01, 최악의 가뭄  광주 3월1일부터 제한급수 위기 코앞
광주광역시,북구, 최악의 가뭄  광주 3월1일부터 제한급수 위기 코앞,가뭄,https://www.news1.kr/articles/4911524,뉴스1,2023-01-01, 최악의 가뭄  광주 3월1일부터 제한급수 위기 코앞
광주광역시,남구, 최악의 가뭄  광주 3월1일부터 제한급수 위기 코앞,가뭄,https://www.news1.kr/articles/4911524,뉴스1,2023-01-01, 최악의 가뭄  광주 3월1일부터 제한급수 위기 코앞
광주광역시,북구, 최악의 가뭄  광주 3월1일부터 제한급수 위기 코앞,가뭄,https://www.news1.kr/articles/4911524,뉴스1,2023-01-01, 최악의 가뭄  광주 3월1일부터 제한급수 위기 코앞
광주광역시,광산구, 최악의 가뭄  광주 3월1일부터 제한급수 위기 코앞,가뭄,https://www.news1.kr/articles/4911524,뉴스1,2023-01-01, 최악의 가뭄  광주 3월1일부터 제한급수 위기 코앞
광주광역시,광산구, 최악의 가뭄  광주 3월1일부터 제한급수 위기 코앞,가뭄,https://www.news1.kr/articles/4911524,뉴스1,2023-01-01, 최악의 가뭄  광주 3월1일부터 제한급수 위기 코앞
전라남도,화순군, 최악의 가뭄  광주 3월1일부터 제한급수 위기 코앞,가뭄,https://www.news1.kr/articles/4911524,뉴스1,2023-01-01, 최악의 가뭄  광주 3월1일부터 제한급수 위기 코앞
광주광역시,광산구, 최악의 가뭄  광주 3월1일부터 제한급수 위기 코앞,가뭄,https://www.news1.kr/articles/4911524,뉴스1,2023-01-01, 최악의 가뭄  광주 3월1일부터 제한급수 위기 코앞
광주광역시,북구, 최악의 가뭄  광주 3월1일부터 제한급수 위기 코앞,가뭄,https://www.news1.kr/articles/4911524,뉴스1,2023-01-01, 최악의 가뭄  광주 3월1일부터 제한급수 위기 코앞
광주광역시,남구, 최악의 가뭄  광주 3월1일부터 제한급수 위기 코앞,가뭄,https://www.news1.kr/articles/4911524,뉴스1,2023-01-01, 최악의 가뭄  광주 3월1일부터 제한급수 위기 코앞
광주광역시,서구, 최악의 가뭄  광주 3월1일부터 제한급수 위기 코앞,가뭄,https://www.news1.kr/articles/4911524,뉴스1,2023-01-01, 최악의 가뭄  광주 3월1일부터 제한급수 위기 코앞
광주광역시,동구, 최악의 가뭄  광주 3월1일부터 제한급수 위기 코앞,가뭄,https://www.news1.kr/articles/4911524,뉴스1,2023-01-01, 최악의 가뭄  광주 3월1일부터 제한급수 위기 코앞
광주광역시,동구, 최악의 가뭄  광주 3월1일부터 제한급수 위기 코앞,가뭄,https://www.news1.kr/articles/4911524,뉴스1,2023-01-01, 최악의 가뭄  광주 3월1일부터 제한급수 위기 코앞
광주광역시,서구, 최악의 가뭄  광주 3월1일부터 제한급수 위기 코앞,가뭄,https://www.news1.kr/articles/4911524,뉴스1,2023-01-01, 최악의 가뭄  광주 3월1일부터 제한급수 위기 코앞
광주광역시,남구, 최악의 가뭄  광주 3월1일부터 제한급수 위기 코앞,가뭄,https://www.news1.kr/articles/4911524,뉴스1,2023-01-01, 최악의 가뭄  광주 3월1일부터 제한급수 위기 코앞
광주광역시,북구, 최악의 가뭄  광주 3월1일부터 제한급수 위기 코앞,가뭄,https://www.news1.kr/articles/4911524,뉴스1,2023-01-01, 최악의 가뭄  광주 3월1일부터 제한급수 위기 코앞
광주광역시,광산구, 최악의 가뭄  광주 3월1일부터 제한급수 위기 코앞,가뭄,https://www.news1.kr/articles/4911524,뉴스1,2023-01-01, 최악의 가뭄  광주 3월1일부터 제한급수 위기 코앞
전라남도,화순군, 최악의 가뭄  광주 3월1일부터 제한급수 위기 코앞,가뭄,https://www.news1.kr/articles/4911524,뉴스1,2023-01-01, 최악의 가뭄  광주 3월1일부터 제한급수 위기 코앞
광주광역시,광산구, 최악의 가뭄  광주 3월1일부터 제한급수 위기 코앞,가뭄,https://www.news1.kr/articles/4911524,뉴스1,2023-01-01, 최악의 가뭄  광주 3월1일부터 제한급수 위기 코앞
전라남도,화순군, 최악의 가뭄  광주 3월1일부터 제한급수 위기 코앞,가뭄,https://www.news1.kr/articles/4911524,뉴스1,2023-01-01, 최악의 가뭄  광주 3월1일부터 제한급수 위기 코앞
전라남도,화순군, 최악의 가뭄  광주 3월1일부터 제한급수 위기 코앞,가뭄,https://www.news1.kr/articles/4911524,뉴스1,2023-01-01, 최악의 가뭄  광주 3월1일부터 제한급수 위기 코앞
전라남도,화순군, 최악의 가뭄  광주 3월1일부터 제한급수 위기 코앞,가뭄,https://www.news1.kr/articles/4911524,뉴스1,2023-01-01, 최악의 가뭄  광주 3월1일부터 제한급수 위기 코앞
광주광역시,광산구, 최악의 가뭄  광주 3월1일부터 제한급수 위기 코앞,가뭄,https://www.news1.kr/articles/4911524,뉴스1,2023-01-01, 최악의 가뭄  광주 3월1일부터 제한급수 위기 코앞
광주광역시,동구, 최악의 가뭄  광주 3월1일부터 제한급수 위기 코앞,가뭄,https://www.news1.kr/articles/4911524,뉴스1,2023-01-01, 최악의 가뭄  광주 3월1일부터 제한급수 위기 코앞
광주광역시,서구, 최악의 가뭄  광주 3월1일부터 제한급수 위기 코앞,가뭄,https://www.news1.kr/articles/4911524,뉴스1,2023-01-01, 최악의 가뭄  광주 3월1일부터 제한급수 위기 코앞
광주광역시,남구, 최악의 가뭄  광주 3월1일부터 제한급수 위기 코앞,가뭄,https://www.news1.kr/articles/4911524,뉴스1,2023-01-01, 최악의 가뭄  광주 3월1일부터 제한급수 위기 코앞
광주광역시,북구, 최악의 가뭄  광주 3월1일부터 제한급수 위기 코앞,가뭄,https://www.news1.kr/articles/4911524,뉴스1,2023-01-01, 최악의 가뭄  광주 3월1일부터 제한급수 위기 코앞
광주광역시,광산구, 최악의 가뭄  광주 3월1일부터 제한급수 위기 코앞,가뭄,https://www.news1.kr/articles/4911524,뉴스1,2023-01-01, 최악의 가뭄  광주 3월1일부터 제한급수 위기 코앞
전라남도,화순군, 최악의 가뭄  광주 3월1일부터 제한급수 위기 코앞,가뭄,https://www.news1.kr/articles/4911524,뉴스1,2023-01-01, 최악의 가뭄  광주 3월1일부터 제한급수 위기 코앞
광주광역시,북구, 최악의 가뭄  광주 3월1일부터 제한급수 위기 코앞,가뭄,https://www.news1.kr/articles/4911524,뉴스1,2023-01-01, 최악의 가뭄  광주 3월1일부터 제한급수 위기 코앞
0,0,가뭄이 지속되면서 145만 광주시민의 식수원인 동복호가 바닥을 드러내고 있다. 예년같으면 10월말 기준 85% 이상 물이 차 있어야 하지만 올해는 32%대로 떨어졌다. 이대로 가뭄이 계속되거나 비가 충분히 내리지 않으면 내년 3월이면 고갈된다.2022.11.13/뉴스1 ？ News1 박준배 기자  강수량 부족 등으로 최악의 가뭄을 겪고 있는 광주의 주요 식...,가뭄,https://www.news1.kr/articles/4911524,뉴스1,2023-01-01,'최악의 가뭄' 광주 3월1일부터 제한급수 위기 코앞
0,0,[광주=뉴시스] 메말라 가는 광주 식수원. 뉴시스DB  [광주=뉴시스] 구용희 기자 = 심각한 가뭄 속 광주시민의 식수원인 동복댐이 메말라 가고 있다.  1일 광주시에 따르면 지난 달 31일 기준 동복댐의 저수율은 25.63%에 불과하다. 지난 달 22~24일 광주·전남 지역에 40㎝ 안팎의 많은 눈이 내렸지만 강수량으로는 7.4㎜에 불과. 가뭄 해갈에 별...,가뭄,http://www.newsis.com/view/?id=NISX20221227_0002138039&cID=10809&pID=10800,뉴시스,2023-01-01,메말라 가는 광주 식수원 동복댐 ""절수. 또 절수를…"" :: 공감...
